#	author	work	ref	greek_form	greek_context	class	reason
1	Plutarch	tlg0007/tlg019	39.10	ἀδελφῷ	υς τοὺς υἱοὺς ἀπέλιπε κληρονόμους, ὁ δὲ νεώτερος Σκηπίων τῷ ἀδελφῷ πᾶσαν ἔχειν συνεχώρησεν αὐτὸς εἰς οἶκον εὐπορώτερον τόν Ἀφρ	B	bulk-classified (n=100 expansion pass)
2	Plutarch	tlg0007/tlg052	Caius.3.2	ἀδελφόν	τοῦ πάθους αὐτῷ παρρησίαν πολλὴν διδόντος ἀνακλαιομένῳ τὸν ἀδελφόν.	B	bulk-classified (n=100 expansion pass)
3	Plutarch	tlg0007/tlg097	21	ἀδελφοῦ	ἐκείνῃ καὶ διαλύεσθαι τὴν μέμψιν. ἀγαμίαν δʼ ἀδελφοῦ καὶ ἀπαιδίαν μάλιστα δυσχεραίνειν, καὶ παρακ	B	bulk-classified (n=100 expansion pass)
4	Plutarch	tlg0007/tlg067	14	ἀδελφῆς	Πλάτων δὲ δούλῳ λίχνῳ καὶ βδελυρῷ θυμωθείς, τὸν τῆς ἀδελφῆς υἱὸν Σπεύσιππον καλέσας	B	bulk-classified (n=100 expansion pass)
5	Plutarch	tlg0007/tlg052	Caius.15.3	ἀδελφὸς	ίᾳ καὶ σιδήρῳ τὰς δίκας πράττουσιν. εἰ περὶ Νομαντίαν ὁ σὸς ἀδελφὸς ἔπεσεν, ὑπόσπονδος ἂν ἡμῖν ἀπεδόθη νεκρός· νῦν δὲ ἴσως κἀγὼ	B	bulk-classified (n=100 expansion pass)
6	Plutarch	tlg0007/tlg097	12	ἀδελφῶν	ἐστι πρὸς διαφορὰν ἀδελφῶν, ἐν πᾶσι δʼ ἴσους γενέσθαι καὶ ὁμαλοὺς ἀδύνα	B	bulk-classified (n=100 expansion pass)
7	Plutarch	tlg0007/tlg085	2	ἀδελφόν	υγκεχυμένοι κατάσκοπον ἔπεμψαν Ἀγησίλαον, τὸν Θεμιστοκλέους ἀδελφόν, καίπερ Νεοκλέους τοῦ πατρὸς αὐτοῦ κατʼ ὄναρ ἑωρακότος ἀμφο	B	bulk-classified (n=100 expansion pass)
8	Plutarch	tlg0007/tlg139	18	ἀδελφὸς	Νεοκλῆς δʼ ὁ ἀδελφὸς εὐθὺς ἐκ παίδων ἀποφαίνοιτο μηδένα σοφώτερον Ἐπικούρου γεγο	B	bulk-classified (n=100 expansion pass)
9	Plutarch	tlg0007/tlg097	6	μισαδελφίαν	πατρῴου τὴν μισαδελφίαν ἀναλαμβάνουσιν. ὁ γὰρ ἐν δίκαις καὶ στάσεσι καὶ	E	bulk-classified (n=100 expansion pass)
10	Plutarch	tlg0007/tlg044	21.1	ἀδελφὸν	δυνάμενος ἐν τῇ πόλει διαπράττεται Τελευτίαν τὸν ὁμομήτριον ἀδελφὸν ἐπὶ τοῦ ναυτικοῦ γενέσθαι, καί στρατευσάμενος εἰς Κόρινθον	B	bulk-classified (n=100 expansion pass)
11	Plutarch	tlg0007/tlg060	9.4	ἀδελφὸς	εἰσῄει δὲ πρὸς αὐτὸν εἰς τὸ δωμάτιον οὔτε ἀδελφὸς οὔθʼ υἱὸς ὡς ἔτυχεν ἠμφιεσμένος, ἀλλʼ ἔδει πρὶν εἰσελθεῖν ἀ	B	bulk-classified (n=100 expansion pass)
12	Plutarch	tlg0007/tlg042	9.3	ἀδελφῶν	γάγετο, καὶ τὴν Τίγγιν, εἰς ἣν ὁ Ἄσκαλις συνέφυγε μετὰ τῶν ἀδελφῶν, ἐξεπολιόρκησεν.	B	bulk-classified (n=100 expansion pass)
13	Plutarch	tlg0007/tlg058	22.4	ἀδελφοῦ	ωρῶν̓, φήσας δὲ μᾶλλον Ὁρτήσιον ἢ Βροῦτον αἰτιᾶσθαι τῆς τοῦ ἀδελφοῦ σφαγῆς Ὁρτήσιον μὲν ἐκέλευσεν ἐπισφάξαι τῷ μνήματι, Βρούτῳ	B	bulk-classified (n=100 expansion pass)
14	Plutarch	tlg0007/tlg097	20	ἀδελφῷ	τῷ ἀδελφῷ	C	bulk-classified (n=100 expansion pass)
15	Plutarch	tlg0007/tlg097	18	ἀδελφὸν	Ἀρτάβανον, ἀδελφὸν ὄντα Δαρείου, δικαστὴν ἀπέφηναν	B	bulk-classified (n=100 expansion pass)
16	Plutarch	tlg0007/tlg060	6.1	ἀδελφιδῆν	τελευτήσαντος δὲ τοῦ ἀδελφοῦ Θεαρίδου Δίων ἔλαβε τὴν Ἀρετήν ἀδελφιδῆν οὖσαν.	B	bulk-classified (n=100 expansion pass)
17	Plutarch	tlg0007/tlg108	2	ἀδελφῶν	ος, ἡ κατωτάτω δʼ αὖ Λάχεσις, δεχομένη μὲν τὰς οὐρανίας τῶν ἀδελφῶν ἐνεργείας,	E	bulk-classified (n=100 expansion pass)
18	Plutarch	tlg0007/tlg097	1	ἀδελφοῖς	ἄνθρωποι πάντες, ὅταν ἐντυγχάνωσι χρηστοῖς ἀδελφοῖς, θαυμάζουσιν οὐδὲν ἧττον ἢ τοὺς Μολιονίδας ἐκείνους,	B	bulk-classified (n=100 expansion pass)
19	Plutarch	tlg0007/tlg107	6	ἀδελφῇ	κτεινε Μιλτιάδην ἐν Χερρονήσῳ πρότερον, ἢ Κίμωνα συνόντα τῇ ἀδελφῇ διώξας εἷλεν, ἢ Θεμιστοκλέους ἐφʼ οἷς ἀσελγαίνων ἐκώμαζε κα	B	bulk-classified (n=100 expansion pass)
20	Plutarch	tlg0007/tlg085	16	ἀδελφὴ	καθʼ ἕνα τῶν ἐπιδιωκόντων. χαρέντων δὲ πάντων, μόνη ἡ ἀδελφὴ οὐ συνεχάρη Ὡρατία τὸν κατηγγυημένον ἄνδρα Κουριάτιον ἀνῃρη	B	bulk-classified (n=100 expansion pass)
21	Plutarch	tlg0007/tlg083	18	ἀδελφοὶ	ἐκ Φωκαίας τοῦ Κοδριδῶν γένους ἦσαν ἀδελφοὶ δίδυμοι Φόβος	B	bulk-classified (n=100 expansion pass)
22	Plutarch	tlg0007/tlg055	20.2	ἀδελφὸς	ρασε καὶ παρώξυνεν ἐπὶ τοὺς ἄνδρας· ὁμοίως δὲ καὶ Κόιντος ὁ ἀδελφὸς καὶ τῶν ἀπὸ φιλοσοφίας ἑταίρων Πόπλιος Νιγίδιος, ᾧ τὰ πλεῖσ	B	bulk-classified (n=100 expansion pass)
23	Plutarch	tlg0007/tlg041	10.3	ἀδελφιδοῦν	ὅμως δὲ πέμψαντος τοῦ Ἀντιγόνου τὸν ἀδελφιδοῦν	B	bulk-classified (n=100 expansion pass)
24	Plutarch	tlg0007/tlg097	13	ἀδελφὸν	ηδʼ ἐπικρύπτῃ μηδὲ πάντων ὥσπερ ἐν ἀγῶνι τὸν ἀδελφὸν ἐξωθῇ τῶν πρωτείων, ἀλλʼ ἀνθυπείκῃ καὶ ἀποφα	B	bulk-classified (n=100 expansion pass)
25	Plutarch	tlg0007/tlg097	11	ἀδελφὸν	ποδοθέντος δὲ τοῦ μέρους αὐτῷ τῶν χρημάτων, οὐ περιεῖδε τὸν ἀδελφὸν ἀλλʼ εἰς μέσον ἅπαντα καταθεὶς ἐνείματο, καὶ	B	bulk-classified (n=100 expansion pass)
26	Plutarch	tlg0007/tlg028	19.1	ἀδελφοῦ	Λεύκιον, ὑπατικοῦ μὲν ἀξιώματος ὄντα, συνατιμοῦσθαι δὲ τοῦ ἀδελφοῦ δοκοῦντος αὐτῷ. διὸ καὶ προελθόντες εἰς τὸν δῆμον ἀμφότεροι	B	bulk-classified (n=100 expansion pass)
